TransactionID,CustomerID,Product,Category,PurchaseDate,Price,Quantity,PaymentMethod,CustomerRegion,Returned,DeliveryDays,SatisfactionRating
31,31429110,Smartwatch,Wearables,2022-01-02,1234.71,3,Wire Transfer,West,0,12,3
32,66722344,Headphones,Accessories,2022-01-02,382.52,4,Credit Card,South,0,10,5
33,55667651,Smartphone,Phones,2022-01-02,176.85,2,Cash,North,0,6,4
34,47295260,Tablet,Tablets,2022-01-02,1900.33,4,Credit Card,South,0,13,5
35,30868105,Smartwatch,Wearables,2022-01-02,1932.98,2,PayPal,West,0,12,5
36,38898923,Monitor,Accessories,2022-01-02,1626.37,1,Credit Card,East,0,9,4
37,55176955,Headphones,Accessories,2022-01-02,644.0,1,Cash,East,0,1,4
38,23718431,Smartwatch,Wearables,2022-01-02,240.46,2,Cash,South,0,11,4
39,22448136,Monitor,Accessories,2022-01-02,1384.25,2,Credit Card,South,0,11,4
40,60992979,Smartphone,Phones,2022-01-02,908.3,2,Cash,East,0,10,4
41,22981052,Laptop,Computers,2022-01-02,287.97,2,PayPal,West,0,12,5
42,58181396,Smartphone,Phones,2022-01-02,1015.59,3,PayPal,North,0,12,2
43,56164955,Smartwatch,Wearables,2022-01-02,117.06,4,Wire Transfer,West,0,14,2
44,91030736,Smartphone,Phones,2022-01-02,1823.17,3,PayPal,West,0,14,1
45,45503389,Laptop,Computers,2022-01-02,554.62,4,Credit Card,South,0,14,2
46,15831819,Smartwatch,Wearables,2022-01-02,1341.92,4,Cash,South,0,3,2
47,71662963,Smartwatch,Wearables,2022-01-02,657.84,4,Cash,East,0,12,5
48,81971316,Tablet,Tablets,2022-01-02,1064.13,3,Credit Card,North,0,7,4
49,26753883,Headphones,Accessories,2022-01-03,1116.09,2,Wire Transfer,South,0,4,4
50,60806024,Headphones,Accessories,2022-01-03,410.47,3,Wire Transfer,North,0,9,5
51,20576383,Headphones,Accessories,2022-01-03,1940.69,3,PayPal,South,0,3,2
52,84093639,Smartwatch,Wearables,2022-01-03,1561.51,4,Wire Transfer,West,0,5,5
53,49349722,Smartphone,Phones,2022-01-03,1882.02,1,PayPal,North,0,3,1
54,94374605,Tablet,Tablets,2022-01-03,1794.91,1,Credit Card,East,0,7,4
55,93016315,Monitor,Accessories,2022-01-03,1215.9,3,Cash,South,0,5,3
56,58537831,Headphones,Accessories,2022-01-03,1847.65,4,Credit Card,West,0,9,1
57,87490893,Tablet,Tablets,2022-01-03,222.56,3,Wire Transfer,South,0,7,1
58,35808537,Smartwatch,Wearables,2022-01-03,432.17,3,PayPal,East,0,2,5
59,19335534,Smartphone,Phones,2022-01-03,138.19,2,Cash,West,0,4,2
60,16150444,Headphones,Accessories,2022-01-03,684.39,4,Wire Transfer,North,0,9,4
61,98753260,Smartwatch,Wearables,2022-01-03,807.92,1,PayPal,North,0,12,3
62,40587988,Tablet,Tablets,2022-01-03,579.13,1,Credit Card,West,0,14,1
63,48840994,Monitor,Accessories,2022-01-03,1666.04,1,Cash,South,0,2,3
64,20709497,Tablet,Tablets,2022-01-03,745.67,3,Wire Transfer,West,0,10,2
65,41244663,Smartwatch,Wearables,2022-01-03,597.82,4,Wire Transfer,North,0,9,2
66,23556182,Smartwatch,Wearables,2022-01-03,1108.26,2,Credit Card,North,0,10,3
67,61019678,Headphones,Accessories,2022-01-03,324.8,1,Cash,North,0,5,4
68,47308985,Smartwatch,Wearables,2022-01-03,1614.28,4,Wire Transfer,North,0,2,2
69,70855700,Smartphone,Phones,2022-01-03,195.37,1,PayPal,South,0,4,3
70,95320121,Monitor,Accessories,2022-01-03,1974.43,2,PayPal,North,0,12,1
71,58966946,Tablet,Tablets,2022-01-03,1555.88,4,Wire Transfer,East,0,12,3
72,31831063,Smartphone,Phones,2022-01-03,437.5,3,Cash,East,0,7,3
73,59684848,Smartphone,Phones,2022-01-04,60.77,3,PayPal,North,0,12,5
74,57683626,Tablet,Tablets,2022-01-04,1640.15,1,Credit Card,West,0,13,2
75,38119557,Tablet,Tablets,2022-01-04,1428.37,1,Credit Card,East,0,8,4
76,99949389,Laptop,Computers,2022-01-04,1471.56,4,Cash,West,0,3,4
77,45833156,Monitor,Accessories,2022-01-04,1553.98,2,Cash,East,0,14,5
78,96977837,Smartphone,Phones,2022-01-04,194.39,1,Cash,East,0,1,4
79,19583482,Laptop,Computers,2022-01-04,749.01,4,Wire Transfer,North,0,4,3
80,91756179,Headphones,Accessories,2022-01-04,275.94,2,Wire Transfer,West,0,2,5
81,95225343,Smartphone,Phones,2022-01-04,1733.05,1,PayPal,West,0,8,1
82,32969840,Smartwatch,Wearables,2022-01-04,1265.43,1,PayPal,West,0,4,2
83,81691040,Smartphone,Phones,2022-01-04,695.25,4,Wire Transfer,North,0,2,2
84,42857966,Laptop,Computers,2022-01-04,173.94,1,Credit Card,South,0,14,2
85,31931511,Smartwatch,Wearables,2022-01-04,656.42,3,Cash,East,0,6,3
86,72043515,Tablet,Tablets,2022-01-04,684.11,2,PayPal,East,0,6,1
87,60929647,Tablet,Tablets,2022-01-04,1472.73,2,Credit Card,North,0,10,5
88,46231783,Tablet,Tablets,2022-01-04,1293.24,3,PayPal,East,0,4,5
89,95899313,Tablet,Tablets,2022-01-04,1780.06,4,Wire Transfer,North,0,6,2
90,84752529,Tablet,Tablets,2022-01-04,970.82,3,PayPal,South,0,13,1
91,39476249,Smartphone,Phones,2022-01-04,283.21,3,Credit Card,South,0,2,1
92,53524491,Laptop,Computers,2022-01-04,1440.83,2,Credit Card,West,0,10,1
93,17507864,Tablet,Tablets,2022-01-04,1533.53,4,PayPal,East,0,12,4
94,40742311,Smartphone,Phones,2022-01-04,1144.49,1,Credit Card,North,0,2,4
95,14308421,Laptop,Computers,2022-01-04,1553.39,3,Cash,North,0,10,2
96,52339391,Monitor,Accessories,2022-01-04,1012.9,3,Cash,North,0,14,1
97,63843426,Smartphone,Phones,2022-01-05,1069.33,4,Wire Transfer,North,0,4,1
98,45935572,Smartwatch,Wearables,2022-01-05,883.7,3,PayPal,South,0,14,5
99,18883684,Smartwatch,Wearables,2022-01-05,99.57,4,Credit Card,North,0,8,5
100,38317637,Laptop,Computers,2022-01-05,260.39,1,PayPal,South,0,14,2
101,86125617,Smartphone,Phones,2022-01-05,111.29,4,Wire Transfer,East,0,7,1
102,52235350,Smartphone,Phones,2022-01-05,1291.0,1,Credit Card,South,0,12,2
103,38538251,Laptop,Computers,2022-01-05,662.99,4,Cash,East,0,9,5
104,97971488,Tablet,Tablets,2022-01-05,1041.71,3,PayPal,South,0,14,5
105,77005685,Smartwatch,Wearables,2022-01-05,1819.75,1,Wire Transfer,East,0,8,4
106,63100814,Tablet,Tablets,2022-01-05,536.12,3,Cash,South,0,5,2
107,96282117,Headphones,Accessories,2022-01-05,850.25,1,Credit Card,East,0,13,2
108,71586053,Smartphone,Phones,2022-01-05,1523.32,4,Cash,West,0,2,1
109,29175900,Headphones,Accessories,2022-01-05,496.16,4,PayPal,North,0,5,1
110,45551614,Headphones,Accessories,2022-01-05,200.11,4,Wire Transfer,South,0,8,4
111,28740864,Monitor,Accessories,2022-01-05,615.02,2,Wire Transfer,North,0,10,3
112,43101783,Smartphone,Phones,2022-01-05,364.38,2,Credit Card,East,0,9,3
113,85345555,Smartwatch,Wearables,2022-01-05,1862.91,1,Credit Card,East,0,12,3
114,82340307,Laptop,Computers,2022-01-05,1625.83,2,PayPal,South,0,12,2
115,45264581,Monitor,Accessories,2022-01-05,1285.14,4,Cash,North,0,12,2
116,88461803,Headphones,Accessories,2022-01-05,1749.35,2,Credit Card,East,0,13,5
117,67503414,Smartwatch,Wearables,2022-01-05,1617.16,2,PayPal,North,0,9,2
118,88320463,Smartphone,Phones,2022-01-05,413.81,3,Wire Transfer,South,0,13,2
119,63606628,Headphones,Accessories,2022-01-05,1790.49,1,Credit Card,North,0,13,2
120,58586340,Smartphone,Phones,2022-01-05,1101.72,1,Wire Transfer,East,0,1,4
121,39436733,Tablet,Tablets,2022-01-06,1624.51,1,Cash,East,0,9,2
122,28566572,Monitor,Accessories,2022-01-06,1797.38,2,Cash,East,0,7,1
123,78387461,Monitor,Accessories,2022-01-06,670.11,4,Credit Card,West,0,9,1
124,76238574,Headphones,Accessories,2022-01-06,264.6,3,PayPal,East,0,8,5
125,22201654,Headphones,Accessories,2022-01-06,494.47,1,Cash,North,0,1,4
126,16323852,Laptop,Computers,2022-01-06,882.86,2,Wire Transfer,West,0,12,1
127,24716857,Smartwatch,Wearables,2022-01-06,1645.13,4,PayPal,North,0,8,4
128,30514014,Monitor,Accessories,2022-01-06,1728.42,3,Credit Card,North,0,8,4
129,94214382,Monitor,Accessories,2022-01-06,63.56,3,Credit Card,North,0,11,5
130,31472420,Monitor,Accessories,2022-01-06,1045.96,1,Credit Card,North,0,3,4
131,66661351,Smartphone,Phones,2022-01-06,863.95,1,PayPal,South,0,1,2
132,90048665,Headphones,Accessories,2022-01-06,483.11,4,PayPal,North,1,8,4
133,18526544,Smartphone,Phones,2022-01-06,283.74,2,Wire Transfer,South,0,3,5
134,61642594,Smartphone,Phones,2022-01-06,708.35,4,Wire Transfer,North,0,3,5
135,61220073,Smartwatch,Wearables,2022-01-06,1888.67,1,PayPal,East,0,1,5
136,89978790,Smartwatch,Wearables,2022-01-06,680.25,4,Cash,North,0,11,1
137,72820592,Tablet,Tablets,2022-01-06,1061.64,2,Credit Card,East,0,5,2
138,81016525,Headphones,Accessories,2022-01-06,1420.89,3,Wire Transfer,North,0,10,1
139,43744231,Tablet,Tablets,2022-01-06,759.08,3,Wire Transfer,South,0,7,3
140,84252722,Laptop,Computers,2022-01-06,1944.98,3,Wire Transfer,North,0,10,2
141,11540956,Monitor,Accessories,2022-01-06,1926.77,3,PayPal,West,0,9,4
142,25374874,Tablet,Tablets,2022-01-06,540.98,1,Credit Card,South,1,12,5
143,82070937,Monitor,Accessories,2022-01-06,1019.63,1,Credit Card,West,0,7,3
144,45812670,Tablet,Tablets,2022-01-06,636.71,2,PayPal,South,0,9,2
145,96028436,Tablet,Tablets,2022-01-07,605.44,2,Wire Transfer,North,0,8,1
146,55657579,Monitor,Accessories,2022-01-07,121.93,2,Cash,North,1,12,5
147,24972279,Laptop,Computers,2022-01-07,1238.65,2,Cash,South,0,2,1
148,49392920,Laptop,Computers,2022-01-07,1030.22,4,Wire Transfer,East,0,1,2
149,68353204,Monitor,Accessories,2022-01-07,150.38,2,Cash,West,0,7,2
150,31227574,Smartphone,Phones,2022-01-07,593.36,3,Credit Card,East,0,7,3
151,70897765,Headphones,Accessories,2022-01-07,1821.12,3,Credit Card,West,0,14,4
152,10435578,Tablet,Tablets,2022-01-07,517.15,3,Wire Transfer,North,0,8,1
153,45351479,Smartwatch,Wearables,2022-01-07,332.55,4,Cash,South,1,5,3
154,77187530,Tablet,Tablets,2022-01-07,1004.43,2,Credit Card,South,0,3,5
155,33978249,Smartphone,Phones,2022-01-07,1972.02,3,Wire Transfer,North,0,12,4
156,78139880,Tablet,Tablets,2022-01-07,522.01,3,Cash,West,0,8,3
157,24282218,Headphones,Accessories,2022-01-07,1360.66,3,Wire Transfer,West,0,6,1
158,93926371,Headphones,Accessories,2022-01-07,1535.16,3,Credit Card,East,0,11,2
159,50056581,Headphones,Accessories,2022-01-07,513.39,1,PayPal,West,0,3,5
160,95758349,Smartphone,Phones,2022-01-07,1470.02,2,Cash,South,0,1,1
161,78137358,Smartwatch,Wearables,2022-01-07,767.18,2,Wire Transfer,East,0,3,4
162,91734598,Smartwatch,Wearables,2022-01-07,1283.0,4,Cash,North,0,5,4
163,36697396,Laptop,Computers,2022-01-07,1285.38,1,Cash,North,0,14,2
164,30513739,Laptop,Computers,2022-01-07,1094.76,4,Credit Card,North,0,3,2
165,60185867,Monitor,Accessories,2022-01-07,226.07,3,PayPal,South,0,1,5
166,31682744,Monitor,Accessories,2022-01-07,1678.84,4,Credit Card,West,0,5,5
167,82394227,Smartwatch,Wearables,2022-01-07,675.52,3,PayPal,North,0,10,2
168,81182864,Headphones,Accessories,2022-01-07,413.71,3,Credit Card,North,0,7,2
169,10076758,Monitor,Accessories,2022-01-08,129.51,2,PayPal,North,0,14,4
170,90388981,Smartwatch,Wearables,2022-01-08,1202.24,2,Credit Card,South,0,7,2
171,53507489,Tablet,Tablets,2022-01-08,1371.25,2,PayPal,East,0,11,3
172,75579548,Tablet,Tablets,2022-01-08,82.35,2,Cash,North,0,9,1
173,12614124,Monitor,Accessories,2022-01-08,1048.58,2,Wire Transfer,East,0,10,2
174,25014631,Laptop,Computers,2022-01-08,491.67,1,PayPal,South,0,10,5
175,58718453,Tablet,Tablets,2022-01-08,1308.09,2,Wire Transfer,West,1,12,3
176,51273847,Tablet,Tablets,2022-01-08,390.01,4,PayPal,South,0,13,5
177,42138745,Smartphone,Phones,2022-01-08,1397.33,3,PayPal,North,0,3,3
178,17774584,Monitor,Accessories,2022-01-08,804.13,2,Cash,South,0,7,2
179,42329237,Smartwatch,Wearables,2022-01-08,1876.62,1,Cash,East,0,1,1
180,86149359,Smartphone,Phones,2022-01-08,318.17,4,Cash,South,0,4,5
181,20570592,Smartphone,Phones,2022-01-08,715.08,4,Cash,South,0,13,3
182,21496211,Headphones,Accessories,2022-01-08,271.27,3,Credit Card,East,0,4,4
183,75228535,Smartphone,Phones,2022-01-08,1853.15,4,Credit Card,South,0,14,2
184,19289546,Headphones,Accessories,2022-01-08,1760.81,4,Credit Card,East,0,5,1
185,81498611,Smartwatch,Wearables,2022-01-08,552.99,4,Credit Card,East,0,7,2
186,26879290,Laptop,Computers,2022-01-08,1336.97,4,PayPal,East,0,7,4
187,27232410,Smartphone,Phones,2022-01-08,1643.58,1,PayPal,South,0,13,1
188,98550256,Monitor,Accessories,2022-01-08,1132.64,3,Cash,North,0,11,4
189,73791320,Tablet,Tablets,2022-01-08,1082.82,2,Cash,North,0,13,2
190,83793389,Smartphone,Phones,2022-01-08,521.61,4,Wire Transfer,West,0,4,3
191,32162965,Smartphone,Phones,2022-01-08,231.55,1,Cash,East,1,13,2
192,45575298,Smartwatch,Wearables,2022-01-08,1799.57,3,Wire Transfer,West,0,7,2
193,80823176,Tablet,Tablets,2022-01-09,1805.82,2,Wire Transfer,South,0,11,2
194,91415657,Tablet,Tablets,2022-01-09,1284.55,3,Cash,East,0,3,5
195,66792612,Laptop,Computers,2022-01-09,711.11,1,Wire Transfer,East,0,6,4
196,38427073,Smartphone,Phones,2022-01-09,730.96,1,Cash,North,0,12,4
197,82383095,Monitor,Accessories,2022-01-09,1465.61,1,PayPal,East,0,2,4
198,36998038,Tablet,Tablets,2022-01-09,1799.37,4,Cash,North,0,10,5
199,51837852,Monitor,Accessories,2022-01-09,1779.82,1,Wire Transfer,South,0,13,3
200,63551839,Laptop,Computers,2022-01-09,1570.76,2,Cash,North,0,14,2
201,97225156,Tablet,Tablets,2022-01-09,1301.96,4,Cash,South,0,9,3
202,60119651,Headphones,Accessories,2022-01-09,214.07,3,Wire Transfer,North,0,5,5
203,68800797,Tablet,Tablets,2022-01-09,365.18,2,PayPal,North,0,6,4
204,79467853,Monitor,Accessories,2022-01-09,1802.18,4,PayPal,North,0,12,2
205,70597444,Smartphone,Phones,2022-01-09,1232.54,1,Credit Card,East,0,12,1
206,26240908,Monitor,Accessories,2022-01-09,67.93,3,PayPal,West,0,12,1
207,43273328,Smartphone,Phones,2022-01-09,247.87,1,PayPal,West,0,12,3
208,40158366,Headphones,Accessories,2022-01-09,1343.83,2,Credit Card,South,0,4,4
209,18593410,Smartwatch,Wearables,2022-01-09,59.87,2,Cash,West,0,14,1
210,55377076,Laptop,Computers,2022-01-09,363.58,4,Cash,North,0,14,3
211,12823170,Smartwatch,Wearables,2022-01-09,1120.03,2,Cash,South,0,11,5
212,88961459,Smartphone,Phones,2022-01-09,1399.2,3,Cash,South,0,10,3
213,84346088,Smartphone,Phones,2022-01-09,1321.32,4,Credit Card,South,0,7,3
214,40885476,Headphones,Accessories,2022-01-09,487.33,3,Credit Card,South,0,12,3
215,88979095,Tablet,Tablets,2022-01-09,1438.75,1,Wire Transfer,South,0,9,2
216,39557077,Smartphone,Phones,2022-01-09,512.64,3,Credit Card,North,0,7,3
217,10965138,Monitor,Accessories,2022-01-10,684.53,3,Credit Card,East,0,14,3
218,19528530,Tablet,Tablets,2022-01-10,1505.66,2,Wire Transfer,East,0,1,2
219,94705205,Headphones,Accessories,2022-01-10,1316.78,1,PayPal,South,0,1,2
220,17901903,Smartwatch,Wearables,2022-01-10,1705.99,2,Credit Card,South,0,9,5
221,40728046,Smartphone,Phones,2022-01-10,1332.35,1,Wire Transfer,West,0,11,4
222,19046318,Smartphone,Phones,2022-01-10,1158.2,1,Wire Transfer,East,0,14,1
223,14216175,Smartwatch,Wearables,2022-01-10,232.67,3,Wire Transfer,East,1,9,1
224,54349361,Tablet,Tablets,2022-01-10,767.05,2,Credit Card,East,1,4,3
225,19510312,Tablet,Tablets,2022-01-10,567.14,3,Cash,North,0,13,5
226,79008866,Laptop,Computers,2022-01-10,525.78,3,Cash,North,0,9,3
227,41944441,Laptop,Computers,2022-01-10,1947.37,3,Wire Transfer,North,0,3,1
228,47376585,Smartwatch,Wearables,2022-01-10,816.54,1,Credit Card,South,0,7,2
229,99788677,Monitor,Accessories,2022-01-10,1789.49,2,Wire Transfer,North,0,6,4
230,75151231,Tablet,Tablets,2022-01-10,1280.72,2,PayPal,South,0,8,5
231,38754377,Monitor,Accessories,2022-01-10,1599.88,3,Credit Card,East,0,11,2
232,82374753,Headphones,Accessories,2022-01-10,1030.14,1,Credit Card,South,0,9,4
233,27758595,Tablet,Tablets,2022-01-10,1174.96,2,Cash,North,0,14,5
234,86644106,Headphones,Accessories,2022-01-10,1010.41,4,Cash,South,0,5,5
235,87337818,Monitor,Accessories,2022-01-10,430.72,2,PayPal,East,0,1,1
236,73440831,Tablet,Tablets,2022-01-10,1458.78,3,PayPal,East,0,3,2
237,42614537,Smartphone,Phones,2022-01-10,597.51,4,Credit Card,South,0,10,5
238,73481353,Smartwatch,Wearables,2022-01-10,97.42,1,PayPal,North,0,12,5
239,64634663,Tablet,Tablets,2022-01-10,1308.67,4,Cash,West,0,8,4
240,35556386,Tablet,Tablets,2022-01-10,395.37,4,Wire Transfer,South,0,11,1
241,22660194,Smartwatch,Wearables,2022-01-11,1883.89,3,Wire Transfer,East,1,6,3
242,23009833,Headphones,Accessories,2022-01-11,1910.16,2,Cash,West,0,8,1
243,98447167,Laptop,Computers,2022-01-11,1833.99,1,Credit Card,North,0,9,3
244,67854710,Headphones,Accessories,2022-01-11,771.81,4,Cash,West,1,4,2
245,57553014,Laptop,Computers,2022-01-11,80.14,3,Credit Card,South,0,1,2
246,66851760,Monitor,Accessories,2022-01-11,1860.22,2,Credit Card,West,0,14,5
247,65177213,Laptop,Computers,2022-01-11,884.96,4,PayPal,West,0,1,2
248,72682989,Monitor,Accessories,2022-01-11,1934.98,3,Cash,East,0,10,5
249,17270733,Smartwatch,Wearables,2022-01-11,1929.06,3,PayPal,East,0,4,1
250,97705310,Smartwatch,Wearables,2022-01-11,1713.37,3,Cash,East,0,12,2
251,96728778,Laptop,Computers,2022-01-11,624.18,1,Credit Card,North,0,14,1
252,23209423,Headphones,Accessories,2022-01-11,800.94,2,Wire Transfer,East,0,7,1
253,18135295,Monitor,Accessories,2022-01-11,1709.72,4,Credit Card,North,0,2,2
254,64038913,Monitor,Accessories,2022-01-11,668.0,2,Wire Transfer,West,0,3,1
255,55540424,Tablet,Tablets,2022-01-11,380.51,2,PayPal,West,0,1,2
256,24665841,Headphones,Accessories,2022-01-11,1135.76,4,Credit Card,West,0,5,2
257,43374088,Laptop,Computers,2022-01-11,1875.5,2,Wire Transfer,North,0,1,2
258,35714784,Tablet,Tablets,2022-01-11,1407.26,1,Credit Card,East,0,8,3
259,35529407,Headphones,Accessories,2022-01-11,1161.62,4,Cash,West,0,1,1
260,81979055,Smartwatch,Wearables,2022-01-11,239.49,4,Credit Card,South,0,11,4
261,70211891,Headphones,Accessories,2022-01-11,1249.26,3,Cash,East,0,1,2
262,28814949,Tablet,Tablets,2022-01-11,1980.61,2,Credit Card,West,0,2,1
263,66623995,Laptop,Computers,2022-01-11,323.16,4,Wire Transfer,West,0,2,5
264,34627347,Smartphone,Phones,2022-01-11,1060.74,4,Wire Transfer,East,0,12,2
265,47385696,Laptop,Computers,2022-01-12,1760.88,1,PayPal,South,0,6,2
266,72092888,Laptop,Computers,2022-01-12,1494.5,3,PayPal,West,0,7,4
267,43528453,Smartwatch,Wearables,2022-01-12,1409.18,4,Wire Transfer,North,0,5,3
268,20117988,Headphones,Accessories,2022-01-12,1419.84,1,Wire Transfer,East,0,1,3
269,69476001,Tablet,Tablets,2022-01-12,751.01,4,Wire Transfer,South,0,1,2
270,83863413,Tablet,Tablets,2022-01-12,622.5,4,PayPal,South,0,3,1
271,23141087,Tablet,Tablets,2022-01-12,1628.25,4,PayPal,South,0,14,5
272,16789850,Smartphone,Phones,2022-01-12,1629.72,1,PayPal,South,0,2,5
273,97529405,Laptop,Computers,2022-01-12,1740.79,2,PayPal,East,0,5,1
274,82556484,Smartphone,Phones,2022-01-12,1830.82,4,PayPal,West,0,12,2
275,11980765,Headphones,Accessories,2022-01-12,1047.12,4,PayPal,North,0,10,5
276,22517517,Laptop,Computers,2022-01-12,1027.96,2,Credit Card,North,0,6,3
277,41726318,Headphones,Accessories,2022-01-12,1606.68,4,Credit Card,South,0,7,1
278,32321899,Tablet,Tablets,2022-01-12,1317.43,3,Wire Transfer,East,0,4,4
279,64547971,Tablet,Tablets,2022-01-12,1418.84,4,Credit Card,East,0,7,2
280,75181648,Laptop,Computers,2022-01-12,1601.8,3,Credit Card,North,1,11,1
281,74606833,Smartwatch,Wearables,2022-01-12,1785.51,2,Cash,South,0,8,5
282,38688676,Headphones,Accessories,2022-01-12,709.09,1,PayPal,South,0,11,2
283,63826716,Tablet,Tablets,2022-01-12,782.39,2,Credit Card,South,0,1,3
284,17869910,Tablet,Tablets,2022-01-12,233.26,4,Cash,North,0,6,2
285,32097220,Smartphone,Phones,2022-01-12,1177.65,3,Wire Transfer,West,0,8,2
286,60864911,Laptop,Computers,2022-01-12,120.09,1,PayPal,South,0,5,3
287,10289289,Monitor,Accessories,2022-01-12,957.92,4,PayPal,West,0,4,3
288,62401521,Smartwatch,Wearables,2022-01-12,1108.16,1,Wire Transfer,North,0,2,2
289,45594951,Smartphone,Phones,2022-01-13,608.76,1,Wire Transfer,West,0,6,3
290,71070189,Laptop,Computers,2022-01-13,1202.12,4,Wire Transfer,North,1,6,1
291,48285503,Headphones,Accessories,2022-01-13,109.48,2,PayPal,East,0,11,3
292,66775103,Smartphone,Phones,2022-01-13,122.83,4,Cash,West,0,1,3
293,84593961,Headphones,Accessories,2022-01-13,1654.07,4,Wire Transfer,South,0,9,2
294,98834863,Laptop,Computers,2022-01-13,752.37,2,PayPal,East,0,12,1
295,75319931,Smartphone,Phones,2022-01-13,297.77,3,PayPal,South,0,11,4
296,30776478,Tablet,Tablets,2022-01-13,1068.37,4,Cash,West,0,6,4
297,35487660,Smartphone,Phones,2022-01-13,1551.49,1,Credit Card,West,0,13,5
298,49823450,Headphones,Accessories,2022-01-13,470.85,4,Cash,North,0,3,3
299,39219319,Monitor,Accessories,2022-01-13,1264.64,4,Cash,South,0,4,3
300,17849494,Smartwatch,Wearables,2022-01-13,216.43,1,Credit Card,West,0,12,1
301,87736262,Tablet,Tablets,2022-01-13,150.78,2,Credit Card,North,1,11,4
302,82772208,Laptop,Computers,2022-01-13,1086.14,3,Cash,North,0,4,5
303,18181586,Smartwatch,Wearables,2022-01-13,1104.24,3,Wire Transfer,North,0,3,1
304,52091325,Smartwatch,Wearables,2022-01-13,1292.99,1,Credit Card,South,0,10,3
305,17672593,Smartwatch,Wearables,2022-01-13,1465.88,2,Cash,East,0,3,4
306,16729990,Smartwatch,Wearables,2022-01-13,1952.91,4,PayPal,West,0,3,5
307,88406989,Laptop,Computers,2022-01-13,1056.79,4,Credit Card,North,0,4,2
308,73993471,Headphones,Accessories,2022-01-13,679.77,4,Wire Transfer,West,0,7,4
309,77491435,Tablet,Tablets,2022-01-13,1600.61,4,Credit Card,North,0,4,5
310,81286543,Smartwatch,Wearables,2022-01-13,578.12,4,Credit Card,South,0,9,1
311,31130263,Laptop,Computers,2022-01-13,905.99,1,Credit Card,East,1,1,2
312,17634247,Tablet,Tablets,2022-01-13,202.99,4,Credit Card,North,0,8,5
313,78159587,Smartphone,Phones,2022-01-14,99.43,4,Wire Transfer,East,0,7,5
314,20752378,Smartphone,Phones,2022-01-14,1927.16,2,Cash,East,0,2,3
315,34941004,Monitor,Accessories,2022-01-14,1680.16,4,Wire Transfer,West,0,8,4
316,19196777,Smartphone,Phones,2022-01-14,1407.15,3,PayPal,East,0,1,3
317,89864260,Laptop,Computers,2022-01-14,847.46,1,Wire Transfer,East,0,11,2
318,19121552,Laptop,Computers,2022-01-14,387.92,1,PayPal,North,0,12,5
